File;Size(bytes);mean (ms);mean (ms)
java14srcs/EventListener.java;330;7.40;0.00
java14srcs/Conditional.java;495;18.20;-
java14srcs/PrintGraphics.java;513;36.80;9.40
java14srcs/MenuContainer.java;544;7.80;0.00
java14srcs/HeadlessException.java;587;41.00;-
java14srcs/EmptyStackException.java;644;18.60;0.00
java14srcs/NoSuchFieldException.java;660;29.80;-
java14srcs/Void.java;675;22.00;-
java14srcs/AWTError.java;725;21.40;-
java14srcs/FontFormatException.java;735;29.60;0.00
java14srcs/NoSuchMethodException.java;763;34.60;-
java14srcs/UnknownError.java;770;17.20;1.00
java14srcs/InternalError.java;782;6.60;-
java14srcs/StackOverflowError.java;796;19.40;-
java14srcs/VerifyError.java;805;97.40;2.60
java14srcs/SecurityException.java;807;21.80;0.00
java14srcs/ClassCircularityError.java;808;23.80;0.00
java14srcs/NegativeArraySizeException.java;836;47.40;-
java14srcs/AttributeValue.java;837;27.60;0.00
java14srcs/VirtualMachineError.java;850;19.00;33.10
java14srcs/AWTException.java;855;43.60;0.00
java14srcs/ClassFormatError.java;864;3.20;0.00
java14srcs/LinkageError.java;871;19.60;-
java14srcs/ArithmeticException.java;872;21.40;5.00
java14srcs/OutOfMemoryError.java;872;8.40;14.60
java14srcs/UnsatisfiedLinkError.java;884;59.40;1.00
java14srcs/UnsupportedClassVersionError.java;884;41.20;6.30
java14srcs/IllegalArgumentException.java;893;19.80;1.00
java14srcs/Observer.java;922;28.40;-
java14srcs/UnsupportedOperationException.java;947;4.80;2.60
java14srcs/IndexOutOfBoundsException.java;962;588.80;-
java14srcs/IncompatibleClassChangeError.java;964;15.40;1.00
java14srcs/IllegalAccessError.java;1004;45.00;-
java14srcs/AbstractMethodError.java;1007;7.80;-
java14srcs/NoSuchFieldError.java;1008;8.00;-
java14srcs/InstantiationError.java;1017;8.00;-
java14srcs/ClassCastException.java;1026;8.20;-
java14srcs/InstantiationException.java;1026;17.20;-
java14srcs/ArrayStoreException.java;1028;9.20;0.00
java14srcs/NoSuchMethodError.java;1040;17.20;-
java14srcs/IllegalThreadStateException.java;1070;65.80;-
java14srcs/NoSuchElementException.java;1083;38.20;-
java14srcs/IllegalStateException.java;1084;28.20;2.00
java14srcs/IllegalComponentStateException.java;1128;30.60;0.00
java14srcs/NoClassDefFoundError.java;1154;27.80;0.00
java14srcs/InterruptedException.java;1156;45.40;-
java14srcs/IllegalMonitorStateException.java;1165;12.20;0.00
java14srcs/ColorPaintContext.java;1168;31.00;0.00
java14srcs/ThreadDeath.java;1203;4.20;0.00
java14srcs/CloneNotSupportedException.java;1213;89.20;-
java14srcs/Transparency.java;1237;19.40;29.80
java14srcs/ArrayIndexOutOfBoundsException.java;1274;4376.60;-
java14srcs/ItemSelectable.java;1279;15.80;0.00
java14srcs/Cloneable.java;1353;28.60;-
java14srcs/NumberFormatException.java;1356;15.60;-
java14srcs/NullPointerException.java;1380;21.00;-
java14srcs/Terminator.java;1399;22.80;-
java14srcs/EventObject.java;1421;73.60;-
java14srcs/StringIndexOutOfBoundsException.java;1442;10.60;1.00
java14srcs/TooManyListenersException.java;1540;17.80;-
java14srcs/PrintJob.java;1604;17.00;-
java14srcs/ActiveEvent.java;1611;32.20;0.00
java14srcs/LayoutManager.java;1692;6.00;-
java14srcs/ResourceBundleEnumeration.java;1709;1286.20;-
java14srcs/EventListenerProxy.java;1736;39.60;3.50
java14srcs/CompositeContext.java;1744;9.40;4.00
java14srcs/SentEvent.java;1814;9.20;3.00
java14srcs/ImageCapabilities.java;1860;14.60;-
java14srcs/RandomAccess.java;1929;26.60;10.60
java14srcs/Runnable.java;1970;12.00;0.00
java14srcs/Stroke.java;2081;65.60;-
java14srcs/MissingResourceException.java;2153;22.60;-
java14srcs/Iterator.java;2165;47.60;-
java14srcs/Enumeration.java;2174;24.40;-
java14srcs/IllegalAccessException.java;2183;12.00;0.00
java14srcs/PaintContext.java;2291;5.40;-
java14srcs/InheritableThreadLocal.java;2310;13.60;0.00
java14srcs/LayoutManager2.java;2464;14.40;-
java14srcs/ConcurrentModificationException.java;2693;11.20;0.00
java14srcs/Exception.java;2772;10.60;-
java14srcs/RuntimeException.java;2935;31.20;-
java14srcs/CharSequence.java;3067;2.80;0.00
java14srcs/Number.java;3072;14.00;0.00
java14srcs/Panel.java;3092;10.00;0.00
java14srcs/AssertionStatusDirectives.java;3099;49.80;-
java14srcs/DisplayMode.java;3124;9.60;0.00
java14srcs/Error.java;3125;13.80;0.00
java14srcs/Composite.java;3137;84.80;-
java14srcs/Paint.java;3175;6.00;-
java14srcs/GraphicsConfigTemplate.java;3358;18.60;-
java14srcs/Stack.java;3508;213.20;4.00
java14srcs/ClassNotFoundException.java;3532;56.40;-
java14srcs/Adjustable.java;3552;46.60;-
java14srcs/KeyEventDispatcher.java;3643;17.20;0.00
java14srcs/ExceptionInInitializerError.java;3825;17.60;-
java14srcs/GraphicsCallback.java;3885;22.80;-
java14srcs/KeyEventPostProcessor.java;3910;26.80;1.50
java14srcs/Compiler.java;3934;1271.00;4.30
java14srcs/DefaultFocusTraversalPolicy.java;3972;44.00;-
java14srcs/TexturePaint.java;3997;77.40;-
java14srcs/CheckboxGroup.java;4126;38.00;1.00
java14srcs/PropertyResourceBundle.java;4161;45.40;-
java14srcs/Insets.java;4442;14.80;-
java14srcs/AssertionError.java;4731;20.80;-
java14srcs/TimerTask.java;4844;30.60;-
java14srcs/Process.java;5246;568.20;26.70
java14srcs/MenuShortcut.java;5381;313.00;2.00
java14srcs/AbstractSet.java;5547;20.60;15.70
java14srcs/Dictionary.java;5603;248.40;9.30
java14srcs/AWTPermission.java;5720;14.40;-
java14srcs/Comparable.java;5730;23.20;1.70
java14srcs/ListResourceBundle.java;5896;185.20;-
java14srcs/UNIXProcess.java;5957;25.00;0.00
java14srcs/PopupMenu.java;6072;16.00;-
java14srcs/CurrencyData.java;6108;27.80;0.00
java14srcs/ComponentOrientation.java;6187;30.40;0.00
java14srcs/Shutdown.java;6290;29.40;0.00
java14srcs/FocusTraversalPolicy.java;6363;8.40;0.00
java14srcs/Comparator.java;6437;31.00;0.00
java14srcs/BufferCapabilities.java;6489;28.80;0.00
java14srcs/LinkedHashSet.java;6580;31.00;0.00
java14srcs/SequencedEvent.java;6659;62.80;-
java14srcs/Dimension.java;6692;7.80;0.10
java14srcs/Point.java;6854;30.80;0.00
java14srcs/Observable.java;7035;31.00;0.00
java14srcs/Canvas.java;7268;10.60;0.00
java14srcs/StackTraceElement.java;7327;16.60;-
java14srcs/GradientPaintContext.java;7513;27.80;0.00
java14srcs/ListIterator.java;7527;22.20;0.00
java14srcs/Boolean.java;7666;4.00;9.80
java14srcs/Image.java;7770;20.40;0.00
java14srcs/GradientPaint.java;8346;22.00;0.00
java14srcs/Label.java;9875;14.20;-
java14srcs/HashSet.java;10008;13.40;-
java14srcs/RuntimePermission.java;10686;6.00;9.40
java14srcs/AbstractSequentialList.java;10909;10.00;-
java14srcs/StringCoding.java;11082;10.40;-
java14srcs/FileDialog.java;11318;21.40;-
java14srcs/SortedSet.java;11431;9.00;-
java14srcs/SortedMap.java;11446;21.20;-
java14srcs/GraphicsEnvironment.java;11486;6.40;-
java14srcs/StringTokenizer.java;11703;20.00;0.00
java14srcs/GraphicsDevice.java;11850;32.20;3.10
java14srcs/EventDispatchThread.java;12000;47.40;0.00
java14srcs/CharacterDataLatin1.java;12067;20.40;-
java14srcs/ScrollPaneAdjustable.java;12337;142.00;-
java14srcs/Cursor.java;12657;52.80;-
java14srcs/GraphicsConfiguration.java;12974;24.60;-
java14srcs/MenuBar.java;13335;39.80;-
java14srcs/AlphaComposite.java;14656;5.20;7.20
java14srcs/Set.java;14662;119.80;-
java14srcs/ContainerOrderFocusTraversalPolicy.java;14681;69.20;4.80
java14srcs/Robot.java;14764;59.00;-
java14srcs/Shape.java;14938;15.60;-
java14srcs/FlowLayout.java;15332;16.40;-
java14srcs/GridLayout.java;15435;15.40;-
java14srcs/Currency.java;15609;15.00;-
java14srcs/Byte.java;15624;17.60;-
java14srcs/Short.java;15780;20.60;1.00
java14srcs/SystemColor.java;16152;12.40;0.00
java14srcs/GridBagConstraints.java;16734;30.60;0.00
java14srcs/AWTEvent.java;17037;29.80;0.00
java14srcs/PropertyPermission.java;17140;30.40;0.00
java14srcs/Package.java;17587;28.60;0.00
java14srcs/Menu.java;17659;28.80;0.00
java14srcs/AbstractCollection.java;17939;30.00;0.00
java14srcs/LinkedHashMap.java;18232;29.20;0.00
java14srcs/Collection.java;18850;29.80;0.00
java14srcs/Map.java;19069;4.20;-
java14srcs/BasicStroke.java;19188;8.60;0.00
java14srcs/ArrayList.java;19711;9.80;-
java14srcs/TreeSet.java;20031;15.60;1.00
java14srcs/CheckboxMenuItem.java;20310;8.00;-
java14srcs/CardLayout.java;20432;29.20;0.00
java14srcs/Button.java;21331;32.00;-
java14srcs/Random.java;21941;8.20;14.00
java14srcs/TextArea.java;22232;23.60;-
java14srcs/TexturePaintContext.java;22234;23.60;-
java14srcs/ThreadLocal.java;22701;12.80;0.00
java14srcs/Polygon.java;22994;19.80;1.00
java14srcs/TextField.java;23409;51.60;5.90
java14srcs/LinkedList.java;23415;14.00;1.00
java14srcs/FontMetrics.java;23625;8.60;-
java14srcs/Object.java;23634;22.20;-
java14srcs/AbstractMap.java;23741;36.80;-
java14srcs/Timer.java;24132;94.20;6.90
java14srcs/BorderLayout.java;24368;240.80;-
java14srcs/RenderingHints.java;24466;41.20;0.00
java14srcs/List.java;24945;71.00;3.50
java14srcs/TimeZone.java;25332;5.60;0.00
java14srcs/AWTKeyStroke.java;25596;59.00;-
java14srcs/Choice.java;25864;323.80;-
java14srcs/ScrollPane.java;26132;37.20;-
java14srcs/Event.java;26373;5.00;0.00
java14srcs/Throwable.java;26817;11.80;3.10
java14srcs/Checkbox.java;27061;6.80;-
java14srcs/MenuItem.java;27527;22.40;-
java14srcs/Properties.java;27807;8.00;0.00
java14srcs/Float.java;28215;45.40;0.10
java14srcs/Double.java;28832;19.60;-
java14srcs/MediaTracker.java;29501;78.40;-
java14srcs/Dialog.java;29679;569.60;-
java14srcs/Rectangle.java;31007;35.00;0.00
java14srcs/ThreadGroup.java;31474;50.60;-
java14srcs/AbstractList.java;31942;42.80;0.00
java14srcs/MenuComponent.java;32249;48.00;-
java14srcs/StrictMath.java;32433;103.00;-
java14srcs/WeakHashMap.java;32656;43.60;-
java14srcs/EventQueue.java;33058;6.40;2.30
java14srcs/Hashtable.java;33137;18.60;-
java14srcs/AWTEventMulticaster.java;33200;32.20;15.60
java14srcs/Long.java;34146;67.00;-
java14srcs/HashMap.java;34377;67.60;-
java14srcs/Integer.java;35579;21.20;0.00
java14srcs/BitSet.java;36180;37.00;0.00
java14srcs/Math.java;36495;34.80;1.00
java14srcs/Runtime.java;37086;76.20;-
java14srcs/Frame.java;37668;551.00;-
java14srcs/System.java;37843;199.80;9.70
java14srcs/Vector.java;38125;11.40;-
java14srcs/JobAttributes.java;39075;56.60;0.00
java14srcs/DefaultKeyboardFocusManager.java;39267;12.40;2.00
java14srcs/TextComponent.java;39309;13.40;-
java14srcs/Color.java;41334;27.40;-
java14srcs/Scrollbar.java;41594;67.60;3.00
java14srcs/IdentityHashMap.java;44165;10.00;0.00
java14srcs/Locale.java;47529;28.80;-
java14srcs/ResourceBundle.java;48389;105.20;-
java14srcs/Thread.java;48787;34.80;-
java14srcs/PageAttributes.java;49135;27.20;0.10
java14srcs/GridBagLayout.java;49930;921.40;-
java14srcs/StringBuffer.java;50601;23.40;-
java14srcs/Date.java;50978;4.40;0.00
java14srcs/Graphics2D.java;54423;22.60;-
java14srcs/Graphics.java;57030;19.60;-
java14srcs/CharacterData.java;59895;51.80;-
java14srcs/TreeMap.java;60459;156.60;-
java14srcs/ClassLoader.java;64562;79.00;-
java14srcs/FloatingDecimal.java;64748;124.60;-
java14srcs/Calendar.java;67186;35.20;0.00
java14srcs/SecurityManager.java;69150;186.20;-
java14srcs/SimpleTimeZone.java;72673;17.40;-
java14srcs/Character.java;74738;16.00;19.40
java14srcs/Window.java;77126;37.80;3.00
java14srcs/Font.java;78701;7.40;-
java14srcs/Arrays.java;86853;28.40;0.00
java14srcs/Class.java;89030;31.20;0.00
java14srcs/String.java;90497;33.40;0.00
java14srcs/Toolkit.java;90749;31.60;0.00
java14srcs/Collections.java;92018;75.40;-
java14srcs/GregorianCalendar.java;93973;27.20;0.00
java14srcs/KeyboardFocusManager.java;113928;30.20;0.00
java14srcs/Container.java;127056;19.60;0.00
java14srcs/Component.java;273269;16.40;-
java14srcs/CombinedClass1.java;464070;421.20;-
